Stock_A,Stock_B,Correlation,Industry_A,Industry_B,Same_Industry
LRCX,MU,0.8147132390016313,Semiconductor Equipment & Materials,Semiconductors,False
KLAC,MU,0.7398184901924376,Semiconductor Equipment & Materials,Semiconductors,False
ADP,CTAS,0.7336857111644324,Software - Application,Specialty Business Services,False
CDNS,SNPS,0.7246046397545387,Software - Application,Software - Infrastructure,False
ADI,KLAC,0.7228701474199087,Semiconductors,Semiconductor Equipment & Materials,False
ADI,LRCX,0.7153828849992003,Semiconductors,Semiconductor Equipment & Materials,False
KLAC,QCOM,0.7150823847824422,Semiconductor Equipment & Materials,Semiconductors,False
AMAT,MU,0.7064235190543487,Semiconductor Equipment & Materials,Semiconductors,False
LRCX,NXPI,0.7035895000072235,Semiconductor Equipment & Materials,Semiconductors,False
KLAC,NXPI,0.6961953677722053,Semiconductor Equipment & Materials,Semiconductors,False
LRCX,QCOM,0.6933450739782572,Semiconductor Equipment & Materials,Semiconductors,False
BKR,FANG,0.6924860701939268,Oil & Gas Equipment & Services,Oil & Gas E&P,False
ASML,MU,0.6905392815590976,Semiconductor Equipment & Materials,Semiconductors,False
CTAS,PAYX,0.6840465510847321,Specialty Business Services,Software - Application,False
AVGO,KLAC,0.6799798789152731,Semiconductors,Semiconductor Equipment & Materials,False
ARM,LRCX,0.6772900430798949,Semiconductors,Semiconductor Equipment & Materials,False
ARM,KLAC,0.6752001236200117,Semiconductors,Semiconductor Equipment & Materials,False
ADI,AMAT,0.6750006438170391,Semiconductors,Semiconductor Equipment & Materials,False
LRCX,NVDA,0.672903192523056,Semiconductor Equipment & Materials,Semiconductors,False
ADP,VRSK,0.6711894917326408,Software - Application,Consulting Services,False
KLAC,NVDA,0.6690513801726644,Semiconductor Equipment & Materials,Semiconductors,False
AMZN,META,0.6649758691287713,Internet Retail,Internet Content & Information,False
AVGO,LRCX,0.6643142107329336,Semiconductors,Semiconductor Equipment & Materials,False
ADP,LIN,0.6573000468103118,Software - Application,Specialty Chemicals,False
META,MSFT,0.6555073708219281,Internet Content & Information,Software - Infrastructure,False
AMAT,NXPI,0.6532559975033446,Semiconductor Equipment & Materials,Semiconductors,False
AMAT,QCOM,0.6517642992059737,Semiconductor Equipment & Materials,Semiconductors,False
LRCX,MCHP,0.6487397270154079,Semiconductor Equipment & Materials,Semiconductors,False
KLAC,MCHP,0.6435825461855315,Semiconductor Equipment & Materials,Semiconductors,False
AMAT,ARM,0.6407624554519329,Semiconductor Equipment & Materials,Semiconductors,False
MSFT,NVDA,0.640753613079031,Software - Infrastructure,Semiconductors,False
