Edge_ID,Stock_A,Stock_B,Correlation
E01,KLAC,LRCX,0.912863653572963
E02,AMAT,KLAC,0.8931072568685491
E03,AMAT,LRCX,0.873236579724714
E04,ADI,MCHP,0.8591548622519961
E05,MCHP,NXPI,0.8585097311533704
E06,ADP,PAYX,0.8562304457151079
E07,ADI,NXPI,0.8481075174397599
E08,ADI,TXN,0.8359141686193481
E09,ASML,KLAC,0.8199395702791267
E10,LRCX,MU,0.8147132390016313
E11,MCHP,TXN,0.8126049939526944
E12,NXPI,ON,0.8073645830700193
E13,ASML,LRCX,0.8043891064846092
E14,AMAT,ASML,0.8009738667948666
E15,MCHP,ON,0.8005080321233204
E16,NXPI,TXN,0.7799686100002573
E17,NXPI,QCOM,0.765727639675457
E18,ADI,QCOM,0.7559668131528069
E19,ADI,ON,0.7551181250996424
E20,KLAC,MU,0.7398184901924376
E21,GFS,NXPI,0.7391690746731777
E22,ADP,CTAS,0.7336857111644324
E23,AEP,EXC,0.7304136263094073
E24,CRWD,ZS,0.7292668073820592
E25,AVGO,NVDA,0.7287068971028945
E26,CDNS,SNPS,0.7246046397545387
E27,ADI,KLAC,0.7228701474199087
E28,MCHP,QCOM,0.7226493295498327
E29,ADI,LRCX,0.7153828849992003
E30,KLAC,QCOM,0.7150823847824422
E31,CRWD,PANW,0.7148181495535232
E32,ON,TXN,0.7093511366434941
E33,AMAT,MU,0.7064235190543487
E34,LRCX,NXPI,0.7035895000072235
E35,GFS,ON,0.698782926957875
E36,KLAC,NXPI,0.6961953677722053
E37,LRCX,QCOM,0.6933450739782572
E38,PANW,ZS,0.6929617358127942
E39,BKR,FANG,0.6924860701939268
E40,GFS,MCHP,0.6914867018478446
E41,ASML,MU,0.6905392815590976
E42,CTAS,PAYX,0.6840465510847321
E43,EXC,XEL,0.6825642009726762
E44,CHTR,CMCSA,0.6811154402754455
E45,AVGO,KLAC,0.6799798789152731
E46,ARM,LRCX,0.6772900430798949
E47,ARM,QCOM,0.676373283747358
E48,ARM,NVDA,0.6761607155115681
E49,ARM,KLAC,0.6752001236200117
