Stock_A,Stock_B,Correlation,Industry_A,Industry_B,Same_Industry
AAPL,GOOGL,0.4998161355454761,Consumer Electronics,Internet Content & Information,False
AVGO,CSCO,0.4997498686756036,Semiconductors,Communication Equipment,False
ADBE,MAR,0.4983589560871417,Software - Application,Lodging,False
CDNS,MSFT,0.4979183933289825,Software - Application,Software - Infrastructure,False
AMAT,CRWD,0.49746689402246275,Semiconductor Equipment & Materials,Software - Infrastructure,False
MCHP,SBUX,0.49696938338749425,Semiconductors,Restaurants,False
AAPL,CTSH,0.4967572453853245,Consumer Electronics,Information Technology Services,False
AMZN,PLTR,0.4965770948359677,Internet Retail,Software - Infrastructure,False
MAR,ON,0.49631254450844825,Lodging,Semiconductors,False
CSCO,CTAS,0.4962571638096988,Communication Equipment,Specialty Business Services,False
ISRG,ZS,0.4962303004690093,Medical Instruments & Supplies,Software - Infrastructure,False
CRWD,DASH,0.49615605506511523,Software - Infrastructure,Internet Retail,False
ADP,ORLY,0.495663503112871,Software - Application,Auto Parts,False
APP,META,0.4955000344295928,Advertising Agencies,Internet Content & Information,False
FANG,NXPI,0.49534273686722746,Oil & Gas E&P,Semiconductors,False
ARM,CEG,0.4952797520569223,Semiconductors,Utilities - Independent Power Producers,False
ABNB,ISRG,0.4951719772952125,Travel Services,Medical Instruments & Supplies,False
NXPI,SBUX,0.49500797085796594,Semiconductors,Restaurants,False
GEHC,ON,0.49487713525919524,Medical Devices,Semiconductors,False
FTNT,META,0.49482035742212677,Software - Infrastructure,Internet Content & Information,False
MAR,PAYX,0.4947355148638532,Lodging,Software - Application,False
ABNB,CSX,0.49468855519786653,Travel Services,Railroads,False
CTAS,GEHC,0.49466517566959184,Specialty Business Services,Medical Devices,False
AVGO,PLTR,0.49448926424987966,Semiconductors,Software - Infrastructure,False
BKNG,PYPL,0.49431271208976446,Travel Services,Credit Services,False
CTSH,LIN,0.4941151245125935,Information Technology Services,Specialty Chemicals,False
AMAT,TSLA,0.49332975405403234,Semiconductor Equipment & Materials,Auto Manufacturers,False
CDW,FANG,0.49330571262048134,Information Technology Services,Oil & Gas E&P,False
META,PYPL,0.49313278489386186,Internet Content & Information,Credit Services,False
ASML,MSTR,0.49301795513292657,Semiconductor Equipment & Materials,Software - Application,False
AAPL,META,0.49282363628130327,Consumer Electronics,Internet Content & Information,False
AMZN,AVGO,0.49247084193540147,Internet Retail,Semiconductors,False
GEHC,LIN,0.4924059008934628,Medical Devices,Specialty Chemicals,False
AMAT,GOOGL,0.4919474936220765,Semiconductor Equipment & Materials,Internet Content & Information,False
LRCX,PLTR,0.49175144145021826,Semiconductor Equipment & Materials,Software - Infrastructure,False
NVDA,ZS,0.49170118264178575,Semiconductors,Software - Infrastructure,False
META,PLTR,0.49118505370976034,Internet Content & Information,Software - Infrastructure,False
AVGO,MSFT,0.49114873257565383,Semiconductors,Software - Infrastructure,False
CTSH,TXN,0.49109918897127536,Information Technology Services,Semiconductors,False
HON,MCHP,0.4908158004252814,Conglomerates,Semiconductors,False
LRCX,PANW,0.490232269974953,Semiconductor Equipment & Materials,Software - Infrastructure,False
ADSK,ISRG,0.4900757520319056,Software - Application,Medical Instruments & Supplies,False
CSCO,TXN,0.490012830923394,Communication Equipment,Semiconductors,False
PCAR,TXN,0.4895243560186157,Farm & Heavy Construction Machinery,Semiconductors,False
BKNG,QCOM,0.4892473158609851,Travel Services,Semiconductors,False
MAR,META,0.48914465054732964,Lodging,Internet Content & Information,False
ISRG,NVDA,0.4890307153370806,Medical Instruments & Supplies,Semiconductors,False
ISRG,MRVL,0.48875337228361626,Medical Instruments & Supplies,Semiconductors,False
BKNG,MCHP,0.48873661455215756,Travel Services,Semiconductors,False
AAPL,KLAC,0.4885173272856392,Consumer Electronics,Semiconductor Equipment & Materials,False
AMD,GOOGL,0.48829270611256426,Semiconductors,Internet Content & Information,False
FANG,QCOM,0.4882405649068711,Oil & Gas E&P,Semiconductors,False
ASML,TSLA,0.4879598042066607,Semiconductor Equipment & Materials,Auto Manufacturers,False
AMD,MSTR,0.4878778164169413,Semiconductors,Software - Application,False
ADI,FANG,0.48761921115873125,Semiconductors,Oil & Gas E&P,False
MCHP,META,0.48719182806551364,Semiconductors,Internet Content & Information,False
CTAS,CTSH,0.4867594256313099,Specialty Business Services,Information Technology Services,False
CTAS,HON,0.4866188214765142,Specialty Business Services,Conglomerates,False
META,ZS,0.4866133248545024,Internet Content & Information,Software - Infrastructure,False
AAPL,MSFT,0.486206578928337,Consumer Electronics,Software - Infrastructure,False
ABNB,QCOM,0.4862029721531052,Travel Services,Semiconductors,False
HON,QCOM,0.4858703525700759,Conglomerates,Semiconductors,False
AMAT,CEG,0.48575240511755857,Semiconductor Equipment & Materials,Utilities - Independent Power Producers,False
ADSK,QCOM,0.48524829845447653,Software - Application,Semiconductors,False
CTAS,MAR,0.484887206831118,Specialty Business Services,Lodging,False
BKR,MU,0.4844204711961553,Oil & Gas Equipment & Services,Semiconductors,False
GOOGL,NVDA,0.48430176909089206,Internet Content & Information,Semiconductors,False
ASML,TXN,0.48426618705729524,Semiconductor Equipment & Materials,Semiconductors,False
NVDA,PANW,0.48365581040749994,Semiconductors,Software - Infrastructure,False
GEHC,ISRG,0.48331145641353185,Medical Devices,Medical Instruments & Supplies,False
AAPL,ASML,0.48307043310871484,Consumer Electronics,Semiconductor Equipment & Materials,False
CSX,MCHP,0.4829303828304172,Railroads,Semiconductors,False
BKNG,CSCO,0.4827150289050624,Travel Services,Communication Equipment,False
AXON,DASH,0.4826060497699153,Aerospace & Defense,Internet Retail,False
CDNS,PLTR,0.48253545611400855,Software - Application,Software - Infrastructure,False
CPRT,WDAY,0.4825079612441921,Specialty Business Services,Software - Application,False
CDNS,PANW,0.48227437631953884,Software - Application,Software - Infrastructure,False
BKNG,META,0.48181528019893866,Travel Services,Internet Content & Information,False
NXPI,WBD,0.48177400771376677,Semiconductors,Entertainment,False
GOOGL,MU,0.48146310400307046,Internet Content & Information,Semiconductors,False
CSX,LIN,0.48130253927728833,Railroads,Specialty Chemicals,False
CSX,TXN,0.48122686721378904,Railroads,Semiconductors,False
CTSH,PYPL,0.48119342768879114,Information Technology Services,Credit Services,False
CSX,CTSH,0.48088908902607225,Railroads,Information Technology Services,False
CDW,ISRG,0.4808400065776248,Information Technology Services,Medical Instruments & Supplies,False
FTNT,ISRG,0.48079966799486556,Software - Infrastructure,Medical Instruments & Supplies,False
