Stock_A,Stock_B,Correlation,Industry_A,Industry_B,Same_Industry
CPRT,WDAY,0.49972428068858976,Specialty Business Services,Software - Application,False
CPRT,NXPI,0.49953932256819883,Specialty Business Services,Semiconductors,False
ADI,CTSH,0.4994546667439738,Semiconductors,Information Technology Services,False
AMAT,AMZN,0.4992532476663906,Semiconductor Equipment & Materials,Internet Retail,False
AMZN,KLAC,0.49830050508089796,Internet Retail,Semiconductor Equipment & Materials,False
META,NVDA,0.49826490554986735,Internet Content & Information,Semiconductors,False
AMAT,GOOGL,0.49781174752746804,Semiconductor Equipment & Materials,Internet Content & Information,False
FAST,ODFL,0.49737220766272405,Industrial Distribution,Trucking,False
ARM,ASML,0.4969988037674389,Semiconductors,Semiconductor Equipment & Materials,False
DASH,PLTR,0.49559001180898943,Internet Retail,Software - Infrastructure,False
ADBE,ASML,0.4952376702739726,Software - Application,Semiconductor Equipment & Materials,False
NXPI,ODFL,0.49460407323459415,Semiconductors,Trucking,False
ADI,AMZN,0.4945353861624083,Semiconductors,Internet Retail,False
CPRT,CSGP,0.4936837790714796,Specialty Business Services,Real Estate Services,False
ADI,MAR,0.49358319563969727,Semiconductors,Lodging,False
ADSK,GOOGL,0.4934954560505114,Software - Application,Internet Content & Information,False
AAPL,ISRG,0.4931013498225349,Consumer Electronics,Medical Instruments & Supplies,False
ON,TSLA,0.4926069363476294,Semiconductors,Auto Manufacturers,False
MELI,ZS,0.49254652333441346,Internet Retail,Software - Infrastructure,False
INTU,META,0.4924704277940181,Software - Application,Internet Content & Information,False
GOOGL,QCOM,0.4923554425171219,Internet Content & Information,Semiconductors,False
ASML,CPRT,0.49232784031175775,Semiconductor Equipment & Materials,Specialty Business Services,False
AAPL,GFS,0.49199478110049893,Consumer Electronics,Semiconductors,False
CPRT,ISRG,0.49160124715425035,Specialty Business Services,Medical Instruments & Supplies,False
CPRT,LIN,0.4915951252934585,Specialty Business Services,Specialty Chemicals,False
CDW,MAR,0.49151654019645785,Information Technology Services,Lodging,False
CTSH,PAYX,0.4911367452999876,Information Technology Services,Software - Application,False
CTSH,ROP,0.49083575351918796,Information Technology Services,Software - Application,False
ADSK,IDXX,0.490592502467857,Software - Application,Diagnostics & Research,False
AAPL,SNPS,0.49056838621554466,Consumer Electronics,Software - Infrastructure,False
FAST,HON,0.4905535535101684,Industrial Distribution,Conglomerates,False
ADSK,CDW,0.49051393802865734,Software - Application,Information Technology Services,False
CRWD,DASH,0.49034314185782363,Software - Infrastructure,Internet Retail,False
SNPS,TXN,0.4894810070245587,Software - Infrastructure,Semiconductors,False
ADP,CPRT,0.4892696893688337,Software - Application,Specialty Business Services,False
CPRT,KLAC,0.48909934479233763,Specialty Business Services,Semiconductor Equipment & Materials,False
ADBE,QCOM,0.48907887941786027,Software - Application,Semiconductors,False
CDNS,MDB,0.48888619137519373,Software - Application,Software - Infrastructure,False
AAPL,META,0.48884238679334396,Consumer Electronics,Internet Content & Information,False
INTU,MRVL,0.4887066845214919,Software - Application,Semiconductors,False
ON,SNPS,0.4884315656164016,Semiconductors,Software - Infrastructure,False
MELI,WDAY,0.48748052623576826,Internet Retail,Software - Application,False
ISRG,SNPS,0.4874353355828803,Medical Instruments & Supplies,Software - Infrastructure,False
AMZN,TTD,0.48714313632193723,Internet Retail,Advertising Agencies,False
DDOG,NVDA,0.4871095538354785,Software - Application,Semiconductors,False
MAR,PCAR,0.4870803023398744,Lodging,Farm & Heavy Construction Machinery,False
MAR,ROST,0.48691959405227275,Lodging,Apparel Retail,False
MSFT,TXN,0.4868431451674992,Software - Infrastructure,Semiconductors,False
CDW,PAYX,0.4867896415706757,Information Technology Services,Software - Application,False
ISRG,KLAC,0.48632539511630674,Medical Instruments & Supplies,Semiconductor Equipment & Materials,False
ADSK,MRVL,0.48629119060935005,Software - Application,Semiconductors,False
CTSH,NXPI,0.4850595264788979,Information Technology Services,Semiconductors,False
AAPL,CTAS,0.48503409229310507,Consumer Electronics,Specialty Business Services,False
ISRG,NVDA,0.48494361529132163,Medical Instruments & Supplies,Semiconductors,False
MAR,MCHP,0.48486965191931747,Lodging,Semiconductors,False
ASML,INTC,0.48475425642360775,Semiconductor Equipment & Materials,Semiconductors,False
AAPL,CPRT,0.4845950299339194,Consumer Electronics,Specialty Business Services,False
ADSK,CTAS,0.48432556141701116,Software - Application,Specialty Business Services,False
CTAS,MSFT,0.4843172007488377,Specialty Business Services,Software - Infrastructure,False
ADI,CPRT,0.48420764709710457,Semiconductors,Specialty Business Services,False
NXPI,TSLA,0.48418101851257833,Semiconductors,Auto Manufacturers,False
HON,ROP,0.4841081482072164,Conglomerates,Software - Application,False
INTU,PANW,0.4836331880612563,Software - Application,Software - Infrastructure,False
ADI,GOOGL,0.4834631365033292,Semiconductors,Internet Content & Information,False
AAPL,CDW,0.4834285661561901,Consumer Electronics,Information Technology Services,False
GOOGL,MRVL,0.48305597066760536,Internet Content & Information,Semiconductors,False
AMD,INTU,0.4830110292346293,Semiconductors,Software - Application,False
ADSK,AMD,0.48288972464534646,Software - Application,Semiconductors,False
CTSH,TXN,0.4828291840486728,Information Technology Services,Semiconductors,False
CDW,INTU,0.4825768065279498,Information Technology Services,Software - Application,False
ADP,CSCO,0.48191372492341783,Software - Application,Communication Equipment,False
DDOG,MELI,0.4817926540417703,Software - Application,Internet Retail,False
CDNS,IDXX,0.4814636669589877,Software - Application,Diagnostics & Research,False
MDB,NVDA,0.48140812551210405,Software - Infrastructure,Semiconductors,False
CPRT,PAYX,0.4812936150610724,Specialty Business Services,Software - Application,False
META,PYPL,0.48113127817327495,Internet Content & Information,Credit Services,False
ODFL,TXN,0.4810612487860038,Trucking,Semiconductors,False
HON,PCAR,0.48094979997181886,Conglomerates,Farm & Heavy Construction Machinery,False
CTSH,MCHP,0.48075436333950194,Information Technology Services,Semiconductors,False
CSX,FAST,0.4805862157134501,Railroads,Industrial Distribution,False
CTAS,TXN,0.48055153472916556,Specialty Business Services,Semiconductors,False
MELI,NVDA,0.480320532070225,Internet Retail,Semiconductors,False
ADSK,FTNT,0.48029880705016387,Software - Application,Software - Infrastructure,False
PYPL,WDAY,0.4802363391513967,Credit Services,Software - Application,False
CCEP,LIN,0.4801246604271095,Beverages - Non-Alcoholic,Specialty Chemicals,False
MCHP,ODFL,0.48009700645022135,Semiconductors,Trucking,False
AMZN,NFLX,0.4799785246632304,Internet Retail,Entertainment,False
CDW,CTAS,0.4792447388765033,Information Technology Services,Specialty Business Services,False
AMZN,ISRG,0.4789570780416369,Internet Retail,Medical Instruments & Supplies,False
HON,MAR,0.47878144301378467,Conglomerates,Lodging,False
AVGO,SNPS,0.4786802030235821,Semiconductors,Software - Infrastructure,False
ASML,META,0.4786439421023219,Semiconductor Equipment & Materials,Internet Content & Information,False
CSCO,PAYX,0.47859914930566344,Communication Equipment,Software - Application,False
ODFL,ROP,0.4784138351929548,Trucking,Software - Application,False
MSFT,TEAM,0.4781451805386499,Software - Infrastructure,Software - Application,False
CSGP,INTU,0.47800432170388607,Real Estate Services,Software - Application,False
ISRG,LRCX,0.4779285889017358,Medical Instruments & Supplies,Semiconductor Equipment & Materials,False
ADSK,CTSH,0.47719272277435043,Software - Application,Information Technology Services,False
ADBE,ADI,0.4769984016127409,Software - Application,Semiconductors,False
AAPL,WDAY,0.4768336815719119,Consumer Electronics,Software - Application,False
TEAM,TTD,0.47680288617609423,Software - Application,Advertising Agencies,False
ADSK,TTD,0.47674790688796725,Software - Application,Advertising Agencies,False
CDNS,GFS,0.47659591536493157,Software - Application,Semiconductors,False
CTSH,INTU,0.4765291935954241,Information Technology Services,Software - Application,False
INTU,TTD,0.47645196050537275,Software - Application,Advertising Agencies,False
DASH,PYPL,0.47635904319741024,Internet Retail,Credit Services,False
AMZN,MCHP,0.47630724509306055,Internet Retail,Semiconductors,False
ADI,CTAS,0.4756984734854765,Semiconductors,Specialty Business Services,False
FAST,LIN,0.4756633592549273,Industrial Distribution,Specialty Chemicals,False
MELI,PYPL,0.47565282140905546,Internet Retail,Credit Services,False
CPRT,MAR,0.4755595256006804,Specialty Business Services,Lodging,False
KDP,MDLZ,0.4752919074363823,Beverages - Non-Alcoholic,Confectioners,False
MSFT,ROP,0.4752680999715059,Software - Infrastructure,Software - Application,False
ADI,CSCO,0.47520415035020575,Semiconductors,Communication Equipment,False
