Stock_A,Stock_B,Correlation,Industry_A,Industry_B,Same_Industry,Industry_Pair,count,mean,std,Industry_Z
ROST,WDAY,0.4654525254353302,Apparel Retail,Software - Application,False,Apparel Retail | Software - Application,22,0.3214491587278848,0.05647921153977883,2.549670273035283
AMGN,PEP,0.44364116365943046,Drug Manufacturers - General,Beverages - Non-Alcoholic,False,Beverages - Non-Alcoholic | Drug Manufacturers - General,16,0.292759577995245,0.06758532345770132,2.232460805763778
ADP,XEL,0.4557002532621146,Software - Application,Utilities - Regulated Electric,False,Software - Application | Utilities - Regulated Electric,33,0.07788912367809091,0.18007807831171996,2.0980406561759426
ADP,CCEP,0.4528337661459136,Software - Application,Beverages - Non-Alcoholic,False,Beverages - Non-Alcoholic | Software - Application,44,0.1588855884560979,0.14262836189462236,2.0609377671110916
ADI,CTAS,0.4501047702161803,Semiconductors,Specialty Business Services,False,Semiconductors | Specialty Business Services,28,0.28538459815293177,0.08154506250034663,2.0199895249641675
AMZN,GEHC,0.4680748614379003,Internet Retail,Medical Devices,False,Internet Retail | Medical Devices,8,0.29301982756501976,0.08679295812948983,2.0169266913533357
CCEP,TMUS,0.40130147048193177,Beverages - Non-Alcoholic,Telecom Services,False,Beverages - Non-Alcoholic | Telecom Services,12,0.26298155563905024,0.06934510052953592,1.9946602396800535
BKR,CDNS,0.4170432882941382,Oil & Gas Equipment & Services,Software - Application,False,Oil & Gas Equipment & Services | Software - Application,11,0.3317989861019702,0.04363095965234082,1.9537572144048558
PANW,TTWO,0.46216464181272515,Software - Infrastructure,Electronic Gaming & Multimedia,False,Electronic Gaming & Multimedia | Software - Infrastructure,16,0.19334569930717166,0.13893241058231956,1.9348900762523962
BIIB,PEP,0.42149724066707256,Drug Manufacturers - General,Beverages - Non-Alcoholic,False,Beverages - Non-Alcoholic | Drug Manufacturers - General,16,0.292759577995245,0.06758532345770132,1.9048168461071109
ADP,MNST,0.4290061615054135,Software - Application,Beverages - Non-Alcoholic,False,Beverages - Non-Alcoholic | Software - Application,44,0.1588855884560979,0.14262836189462236,1.8938769923536518
CDNS,CEG,0.47466344982452574,Software - Application,Utilities - Independent Power Producers,False,Software - Application | Utilities - Independent Power Producers,11,0.23942992364947854,0.12517727103477258,1.8792031830579088
AXON,NVDA,0.413521673653053,Aerospace & Defense,Semiconductors,False,Aerospace & Defense | Semiconductors,14,0.2554094944588827,0.0850864274946285,1.8582538231982049
PAYX,XEL,0.4121812892025691,Software - Application,Utilities - Regulated Electric,False,Software - Application | Utilities - Regulated Electric,33,0.07788912367809091,0.18007807831171996,1.8563734612150264
CMCSA,NXPI,0.41792750982701404,Telecom Services,Semiconductors,False,Semiconductors | Telecom Services,42,0.17336917803323545,0.13646273990075833,1.7921253227923761
PAYX,PEP,0.4113761011375213,Software - Application,Beverages - Non-Alcoholic,False,Beverages - Non-Alcoholic | Software - Application,44,0.1588855884560979,0.14262836189462236,1.7702686150736986
ADP,ORLY,0.495663503112871,Software - Application,Auto Parts,False,Auto Parts | Software - Application,11,0.16899172352477687,0.18508835123098355,1.7649505083138355
APP,CRWD,0.47934301243493843,Advertising Agencies,Software - Infrastructure,False,Advertising Agencies | Software - Infrastructure,16,0.3300862872540469,0.08562983087833566,1.7430458947531742
GEHC,PANW,0.4149535208714623,Medical Devices,Software - Infrastructure,False,Medical Devices | Software - Infrastructure,16,0.309249106950234,0.06122619848993166,1.7264572442564905
ADP,TMUS,0.4514554918315405,Software - Application,Telecom Services,False,Software - Application | Telecom Services,33,0.2288544921372178,0.13247243205220552,1.6803571599455407
ADP,COST,0.44182448118011647,Software - Application,Discount Stores,False,Discount Stores | Software - Application,11,0.30290786169224543,0.08275545557486377,1.6786400186293666
CDW,FTNT,0.4361578054061761,Information Technology Services,Software - Infrastructure,False,Information Technology Services | Software - Infrastructure,16,0.3578574216432391,0.04799053786861202,1.6315796246607397
ADI,CSGP,0.4370810456767607,Semiconductors,Real Estate Services,False,Real Estate Services | Semiconductors,14,0.3202363799993312,0.07214668562701611,1.6195430831222517
NXPI,WBD,0.48177400771376677,Semiconductors,Entertainment,False,Entertainment | Semiconductors,28,0.35215348388207424,0.08025335105214321,1.6151415751782612
COST,ROP,0.43648203563569177,Discount Stores,Software - Application,False,Discount Stores | Software - Application,11,0.30290786169224543,0.08275545557486377,1.6140829993088492
TMUS,XEL,0.40613892150936537,Telecom Services,Utilities - Regulated Electric,False,Telecom Services | Utilities - Regulated Electric,9,0.21751525809807626,0.11691982375321687,1.6132735866025407
MCHP,WBD,0.4795325233626498,Semiconductors,Entertainment,False,Entertainment | Semiconductors,28,0.35215348388207424,0.08025335105214321,1.5872114723011785
APP,MRVL,0.47538104240767515,Advertising Agencies,Semiconductors,False,Advertising Agencies | Semiconductors,28,0.3278751939078987,0.0932390600773106,1.5820177549781143
CTAS,TXN,0.4143569362123695,Specialty Business Services,Semiconductors,False,Semiconductors | Specialty Business Services,28,0.28538459815293177,0.08154506250034663,1.5816081820881494
ADI,WBD,0.4784409469408888,Semiconductors,Entertainment,False,Entertainment | Semiconductors,28,0.35215348388207424,0.08025335105214321,1.573609841871419
KHC,PAYX,0.46041005397307905,Packaged Foods,Software - Application,False,Packaged Foods | Software - Application,11,0.17140765326612997,0.18717346573877658,1.5440350990256664
ADP,GEHC,0.4761920239902634,Software - Application,Medical Devices,False,Medical Devices | Software - Application,22,0.33243714076565717,0.09346168234328572,1.5381157242236776
GEHC,ROP,0.47567380945872556,Medical Devices,Software - Application,False,Medical Devices | Software - Application,22,0.33243714076565717,0.09346168234328572,1.532571050529121
CDW,PANW,0.43125432413224457,Information Technology Services,Software - Infrastructure,False,Information Technology Services | Software - Infrastructure,16,0.3578574216432391,0.04799053786861202,1.52940362306317
CMCSA,GEHC,0.4124084202822514,Telecom Services,Medical Devices,False,Medical Devices | Telecom Services,6,0.21867407226412938,0.12755814384511502,1.5187924673265876
LRCX,WBD,0.46180703372730847,Semiconductor Equipment & Materials,Entertainment,False,Entertainment | Semiconductor Equipment & Materials,8,0.34452664263997124,0.07727792462951613,1.5176441609890523
APP,AVGO,0.4678726234879293,Advertising Agencies,Semiconductors,False,Advertising Agencies | Semiconductors,28,0.3278751939078987,0.0932390600773106,1.5014890697519856
BIIB,GEHC,0.4437313711931442,Drug Manufacturers - General,Medical Devices,False,Drug Manufacturers - General | Medical Devices,8,0.2135499471639885,0.1536710327898251,1.497884278190369
PANW,PYPL,0.4714186390061842,Software - Infrastructure,Credit Services,False,Credit Services | Software - Infrastructure,8,0.36004555289241763,0.0757039283134223,1.4711665377874468
ADBE,PCAR,0.4728036530623554,Software - Application,Farm & Heavy Construction Machinery,False,Farm & Heavy Construction Machinery | Software - Application,11,0.32521382662849213,0.10052522350238843,1.468187001149583
AAPL,MSFT,0.486206578928337,Consumer Electronics,Software - Infrastructure,False,Consumer Electronics | Software - Infrastructure,8,0.39896848644123134,0.06043819697449328,1.443426456350489
ADSK,ISRG,0.4900757520319056,Software - Application,Medical Instruments & Supplies,False,Medical Instruments & Supplies | Software - Application,11,0.4050821086399972,0.05975140510603701,1.422454304481637
ADP,KHC,0.4373444265016995,Software - Application,Packaged Foods,False,Packaged Foods | Software - Application,11,0.17140765326612997,0.18717346573877658,1.4208038099092355
ORLY,PAYX,0.43154259527090283,Auto Parts,Software - Application,False,Auto Parts | Software - Application,11,0.16899172352477687,0.18508835123098355,1.4185164544389506
APP,LRCX,0.43725848291830766,Advertising Agencies,Semiconductor Equipment & Materials,False,Advertising Agencies | Semiconductor Equipment & Materials,8,0.33634763037612236,0.0714463925170961,1.412399548627158
CDNS,GOOGL,0.466499181234158,Software - Application,Internet Content & Information,False,Internet Content & Information | Software - Application,22,0.3267598087235522,0.09961793898956973,1.4027530977652218
ASML,MSTR,0.49301795513292657,Semiconductor Equipment & Materials,Software - Application,False,Semiconductor Equipment & Materials | Software - Application,44,0.34206833851370927,0.10784626431000185,1.399674041423593
QCOM,ROST,0.44040408787780266,Semiconductors,Apparel Retail,False,Apparel Retail | Semiconductors,28,0.3384922482970887,0.07410195867581512,1.375292116454882
AMZN,MSTR,0.46717572687654463,Internet Retail,Software - Application,False,Internet Retail | Software - Application,44,0.31274920394089323,0.11636281396693061,1.3271123108069403
CTSH,PANW,0.42122328908466533,Information Technology Services,Software - Infrastructure,False,Information Technology Services | Software - Infrastructure,16,0.3578574216432391,0.04799053786861202,1.3203825223819878
AAPL,ADSK,0.46172207151584693,Consumer Electronics,Software - Application,False,Consumer Electronics | Software - Application,11,0.41459178811196656,0.03578304450997223,1.3171121700040314
ADBE,ODFL,0.4427307640288456,Software - Application,Trucking,False,Software - Application | Trucking,11,0.3439324989947686,0.07507924381470955,1.3159198203687879
